MacBook,MacBook Pro 13-inch
from $1299,from $1299
Summary
12-inch (diagonal) LED-backlit Retina display,13.3-inch (diagonal) LED-backlit Retina display
"1.1GHz dual‑core Intel Core m3, 1.2GHz dual‑core Intel Core m5, or 1.3GHz dual‑core Intel Core m7 processorTurbo Boost up to 3.1GHz",2.7GHz or 2.9GHz dual-core Intel Core i5 or 3.1GHz dual-core Intel Core i7 processorTurbo Boost up to 3.4GHz
0.14 to 0.52 inch thin,0.71 inch thin
2.03 pounds1,3.48 pounds1
-,-
Specifications
"1.1GHz dual‑core Intel Core m3, 1.2GHz dual‑core Intel Core m5, or 1.3GHz dual‑core Intel Core m7 processorTurbo Boost up to 3.1GHz",2.7GHz or 2.9GHz dual-core Intel Core i5 or 3.1GHz dual-core Intel Core i7 processorTurbo Boost up to 3.4GHz
8GB memory,Up to 16GB memory
Up to 512GB flash storage2,Up to 1TB flash storage2
Intel HD Graphics 515,Intel Iris Graphics 6100
Display
12-inch (diagonal) LED-backlit display,13.3-inch (diagonal) LED-backlit display
Retina display,Retina display
2304 by 1440 pixels,2560 by 1600 pixels
16:10 aspect ratio,16:10 aspect ratio
Battery and Power
Up to 10 hours wireless web3,Up to 10 hours wireless web3
Up to 11 hours iTunes movie playback3,Up to 12 hours iTunes movie playback3
Built-in 41.4 watt-hour lithium-polymer battery,Integrated 74.9-watt-hour lithium-polymer battery
29W USB-C Power Adapter with cable management system,60W MagSafe 2 Power Adapter with cable management system
USB-C power port,MagSafe 2 power port
Other Features
USB-C port,Two USB 3 ports
-,-
-,Two Thunderbolt 2 ports
-,HDMI port
802.11ac Wi-Fi,802.11ac Wi-Fi
Bluetooth 4.0 wireless technology,Bluetooth 4.0 wireless technology
-,-
FaceTime camera,FaceTime HD camera
Full-size backlit keyboard with butterfly mechanism,Full-size backlit keyboard
Force Touch trackpad,Force Touch trackpad
-,SDXC card slot
External USB SuperDrive (requires adapter; sold separately),External USB SuperDrive (sold separately)
"macOS Sierra Photos, iMovie, GarageBand, Pages, Numbers, Keynote","macOS Sierra Photos, iMovie, GarageBand, Pages, Numbers, Keynote"
Colors
